2,1,253


3,1,434
3,2,327


4,1,614
4,2,508
4,3,400


5,1,794
5,2,688
5,3,581
5,4,473


6,1,974
6,2,868
6,3,761
6,4,654
6,5,546


7,1,1154
7,2,1048
7,3,941
7,4,834
7,5,727
7,6,619


8,1,1334
8,2,1228
8,3,1121
8,4,1014
8,5,907
8,6,800
8,7,692


9,1,1514
9,2,1408
9,3,1301
9,4,1194
9,5,1087
9,6,980
9,7,873
9,8,765


10,1,1694
10,2,1588
10,3,1481
10,4,1374
10,5,1267
10,6,1160
10,7,1053
10,8,946
10,9,838


11,1,1874
11,2,1768
11,3,1661
11,4,1554
11,5,1447
11,6,1340
11,7,1233
11,8,1126
11,9,1019
11,10,911


12,1,1252
12,2,1948
12,3,1841
12,4,1734
12,5,1627
12,6,1520
12,7,1413
12,8,1306
12,9,1199
12,10,1092
12,11,984


13,1,1359
13,2,1326
13,3,2021
13,4,1914
13,5,1807
13,6,1700
13,7,1593
13,8,1486
13,9,1379
13,10,1272
13,11,1165
13,12,1057


14,1,1466
14,2,1433
14,3,1399
14,4,2094
14,5,1987
14,6,1880
14,7,1773
14,8,1666
14,9,1559
14,10,1452
14,11,1345
14,12,1238
14,13,1130


15,1,1573
15,2,1540
15,3,1506
15,4,1472
15,5,2167
15,6,2060
15,7,1953
15,8,1846
15,9,1739
15,10,1632
15,11,1525
15,12,1418
15,13,1311
15,14,1203


16,1,1680
16,2,1647
16,3,1613
16,4,1579
16,5,1545
16,6,2240
16,7,2133
16,8,2026
16,9,1919
16,10,1812
16,11,1705
16,12,1598
16,13,1491
16,14,1384
16,15,1276


17,1,1787
17,2,1754
17,3,1720
17,4,1686
17,5,1652
17,6,1618
17,7,2313
17,8,2206
17,9,2099
17,10,1992
17,11,1885
17,12,1778
17,13,1671
17,14,1564
17,15,1457
17,16,1349


18,1,1894
18,2,1861
18,3,1827
18,4,1793
18,5,1759
18,6,1725
18,7,1691
18,8,2386
18,9,2279
18,10,2172
18,11,2065
18,12,1958
18,13,1851
18,14,1744
18,15,1637
18,16,1530
18,17,1422


19,1,2001
19,2,1968
19,3,1934
19,4,1900
19,5,1866
19,6,1832
19,7,1798
19,8,1764
19,9,2459
19,10,2352
19,11,2245
19,12,2138
19,13,2031
19,14,1924
19,15,1817
19,16,1710
19,17,1603
19,18,1495


20,1,2108
20,2,2075
20,3,2041
20,4,2007
20,5,1973
20,6,1939
20,7,1905
20,8,1871
20,9,1837
20,10,2532
20,11,2425
20,12,2318
20,13,2211
20,14,2104
20,15,1997
20,16,1890
20,17,1783
20,18,1676
20,19,1568


21,1,2215
21,2,2182
21,3,2148
21,4,2114
21,5,2080
21,6,2046
21,7,2012
21,8,1978
21,9,1944
21,10,1910
21,11,2605
21,12,2498
21,13,2391
21,14,2284
21,15,2177
21,16,2070
21,17,1963
21,18,1856
21,19,1749
21,20,1641


22,2,2289
22,3,2255
22,4,2221
22,5,2187
22,6,2153
22,7,2119
22,8,2085
22,9,2051
22,10,2017
22,11,1983
22,12,2678
22,13,2571
22,14,2464
22,15,2357
22,16,2250
22,17,2143
22,18,2036
22,19,1929
22,20,1822
22,21,1713


23,3,2362
23,4,2328
23,5,2294
23,6,2260
23,7,2226
23,8,2192
23,9,2158
23,10,2124
23,11,2090
23,12,2056
23,13,2751
23,14,2644
23,15,2537
23,16,2430
23,17,2323
23,18,2216
23,19,2109
23,20,2002
23,21,1894
23,22,1786


24,4,2435
24,5,2401
24,6,2367
24,7,2333
24,8,2299
24,9,2265
24,10,2231
24,11,2197
24,12,2163
24,13,2129
24,14,2824
24,15,2717
24,16,2610
24,17,2503
24,18,2396
24,19,2289
24,20,2182
24,21,2074
24,22,1967
24,23,1859


25,5,2508
25,6,2474
25,7,2440
25,8,2406
25,9,2372
25,10,2338
25,11,2304
25,12,2270
25,13,2236
25,14,2202
25,15,2897
25,16,2790
25,17,2683
25,18,2576
25,19,2469
25,20,2362
25,21,2254
25,22,2147
25,23,2040
25,24,1932


26,6,2581
26,7,2547
26,8,2513
26,9,2479
26,10,2445
26,11,2411
26,12,2377
26,13,2343
26,14,2309
26,15,2275
26,16,2970
26,17,2863
26,18,2756
26,19,2649
26,20,2542
26,21,2434
26,22,2327
26,23,2220
26,24,2113
26,25,2005


27,7,2654
27,8,2620
27,9,2586
27,10,2552
27,11,2518
27,12,2484
27,13,2450
27,14,2416
27,15,2382
27,16,2348
27,17,3043
27,18,2936
27,19,2829
27,20,2722
27,21,2614
27,22,2507
27,23,2400
27,24,2293
27,25,2186
27,26,2078


28,8,2727
28,9,2693
28,10,2659
28,11,2625
28,12,2591
28,13,2557
28,14,2523
28,15,2489
28,16,2455
28,17,2421
28,18,3116
28,19,3009
28,20,2902
28,21,2794
28,22,2687
28,23,2580
28,24,2473
28,25,2366
28,26,2259
28,27,2151


29,9,2800
29,10,2766
29,11,2732
29,12,2698
29,13,2664
29,14,2630
29,15,2596
29,16,2562
29,17,2528
29,18,2494
29,19,3189
29,20,3082
29,21,2974
29,22,2867
29,23,2760
29,24,2653
29,25,2546
29,26,2439
29,27,2332
29,28,2224


30,10,2873
30,11,2839
30,12,2805
30,13,2771
30,14,2737
30,15,2703
30,16,2669
30,17,2635
30,18,2601
30,19,2567
30,20,3262
30,21,3154
30,22,3047
30,23,2940
30,24,2833
30,25,2726
